resume_id,name,email,phone,current_job_title,job_id,target_job_title,match_percent,matched_skills,missing_skills
RES0001,Nathan Brooks - Administrative Assistant,nathan.brooks@email.com,"	(613) 555-7890",HR Advisor / Manager,JOB101,Business Intelligence and Analytics Analyst - Intermediate,0,,"communication, reporting, dashboarding, sql, data visualization, power bi, technical documentation, documentation, scripting, oracle"
RES0002,Isabelle Tremblay - Biologist,isabelle.tremblay@email.com,"	(514) 555-3344",Policy Analyst,JOB101,Business Intelligence and Analytics Analyst - Intermediate,0,,"communication, reporting, dashboarding, sql, data visualization, power bi, technical documentation, documentation, scripting, oracle"
RES0003,Sophie Laurent - Communications Officer,sophie.laurent@email.com,"	(613) 555-2345",Physician (Medical Officer),JOB101,Business Intelligence and Analytics Analyst - Intermediate,4.2,communication,"reporting, dashboarding, sql, data visualization, power bi, technical documentation, documentation, scripting, oracle"
RES0004,RUTH WELDEKRISTOS,ruth@yahoo.com,"	519-888-9999",Community Health Nurse,JOB101,Business Intelligence and Analytics Analyst - Intermediate,0,,"communication, reporting, dashboarding, sql, data visualization, power bi, technical documentation, documentation, scripting, oracle"
RES0005,Natasha Gill,natasha@domain.com,"	(613) 302-0000",Data Analyst,JOB101,Business Intelligence and Analytics Analyst - Intermediate,79.2,"communication, dashboarding, sql, data visualization, power bi","reporting, technical documentation, documentation, scripting, oracle"
RES0006,CHARMAINE ANN S. PADRE JUAN,char.ann@gmail.com,"	+1-506-888-6767",Financial Analyst / Manager,JOB101,Business Intelligence and Analytics Analyst - Intermediate,0,,"communication, reporting, dashboarding, sql, data visualization, power bi, technical documentation, documentation, scripting, oracle"
RES0007,CHARMAINE ANN S. PADRE JUAN,char.ann@gmail.com,"	+1-506-888-6767",Financial Analyst / Manager,JOB101,Business Intelligence and Analytics Analyst - Intermediate,0,,"communication, reporting, dashboarding, sql, data visualization, power bi, technical documentation, documentation, scripting, oracle"
RES0008,Liam Tremblay,liam.tremblay@email.com,"	(819) 555-4455",Financial Analyst / Manager,JOB101,Business Intelligence and Analytics Analyst - Intermediate,4.2,reporting,"communication, dashboarding, sql, data visualization, power bi, technical documentation, documentation, scripting, oracle"
RES0009,Anika Patel,anika.patel@email.com,"	(613) 555-3344",HR Advisor / Manager,JOB101,Business Intelligence and Analytics Analyst - Intermediate,0,,"communication, reporting, dashboarding, sql, data visualization, power bi, technical documentation, documentation, scripting, oracle"
RES0010,Samuel Green,samuel.green@email.com,"	(416) 555-1122",Compliance and Enforcement Officer,JOB101,Business Intelligence and Analytics Analyst - Intermediate,8.3,"technical documentation, documentation","communication, reporting, dashboarding, sql, data visualization, power bi, scripting, oracle"
RES0011,Maya Chen,maya.chen@email.com,"	(343) 555-2233",Health IT Systems Analyst,JOB101,Business Intelligence and Analytics Analyst - Intermediate,4.2,sql,"communication, reporting, dashboarding, data visualization, power bi, technical documentation, documentation, scripting, oracle"
RES0012,Jane Doe,jane.doe@email.com,"	(613) 555-1234",Laboratory Technician / Biologist / Chemist,JOB101,Business Intelligence and Analytics Analyst - Intermediate,0,,"communication, reporting, dashboarding, sql, data visualization, power bi, technical documentation, documentation, scripting, oracle"
RES0013,Dr. Michael Fraser - Medical Officer,michael.fraser@email.com,"	(416) 555-4567",Epidemiologist,JOB101,Business Intelligence and Analytics Analyst - Intermediate,0,,"communication, reporting, dashboarding, sql, data visualization, power bi, technical documentation, documentation, scripting, oracle"
